"Date","Price","Open","High","Low","Change %"
"02/15/2024","4.4460","4.4890","4.5030","4.3910","-0.67%"
"02/14/2024","4.4760","4.5610","4.5890","4.4500","-1.58%"
"02/13/2024","4.5480","4.3540","4.5578","4.3100","4.74%"
"02/12/2024","4.3420","4.3680","4.3790","4.3110","-0.60%"
"02/11/2024","4.3680","4.3680","4.3680","4.3680","1.09%"
"02/09/2024","4.3210","4.3280","4.3706","4.2790","0.00%"
"02/08/2024","4.3210","4.3040","4.3356","4.2630","0.92%"
"02/07/2024","4.2815","4.2530","4.2940","4.2100","0.27%"
"02/06/2024","4.2700","4.3348","4.3540","4.2330","-1.50%"
"02/05/2024","4.3350","4.2589","4.3525","4.2568","7.64%"
"02/02/2024","4.0275","4.0460","4.2577","4.0381","0.00%"
"02/01/2024","4.0275","4.0525","4.1330","3.9580","-1.31%"
"01/31/2024","4.0810","4.1870","4.2190","4.0250","-3.09%"
"01/30/2024","4.2110","4.1840","4.2490","4.1514","1.26%"
"01/29/2024","4.1585","4.2370","4.2480","4.1500","-0.82%"
"01/26/2024","4.1930","4.1779","4.2480","4.1445","0.00%"
"01/25/2024","4.1930","4.2580","4.3010","4.1730","-1.40%"
"01/24/2024","4.2527","4.2100","4.2720","4.1520","1.06%"
"01/23/2024","4.2080","4.2227","4.2590","4.1930","-0.40%"
"01/22/2024","4.2250","4.2585","4.2830","4.1966","0.55%"
"01/19/2024","4.2020","4.2055","4.2870","4.1870","0.00%"
"01/18/2024","4.2020","4.2110","4.2260","4.1440","-0.17%"
"01/17/2024","4.2090","4.0880","4.2350","4.0576","3.25%"
"01/16/2024","4.0766","3.9830","4.1170","3.9830","0.14%"
"01/15/2024","4.0710","4.0710","4.0710","4.0710","0.00%"
"01/12/2024","4.0710","4.0680","4.1170","3.9330","0.00%"
"01/11/2024","4.0710","4.1744","4.2010","4.0570","-2.68%"
"01/10/2024","4.1830","4.1873","4.2040","4.1390","0.02%"
"01/09/2024","4.1823","4.1960","4.2210","4.1620","0.22%"
"01/08/2024","4.1730","4.1924","4.2360","4.1245","-0.26%"
"01/05/2024","4.1840","4.1770","4.2955","4.1090","0.02%"
"01/04/2024","4.1830","4.1230","4.2110","4.0600","2.04%"
"01/03/2024","4.0995","4.1010","4.1690","4.0870","-0.35%"
"01/02/2024","4.1140","4.0269","4.1400","4.0080","1.61%"
"01/01/2024","4.0490","4.0269","4.0269","4.0269","0.00%"
"12/29/2023","4.0490","4.0470","4.0800","3.9880","0.00%"
"12/28/2023","4.0490","4.0130","4.0710","4.0040","0.67%"
"12/27/2023","4.0220","4.0940","4.0980","3.9990","-1.25%"
"12/26/2023","4.0730","4.0585","4.1080","4.0570","0.05%"
"12/25/2023","4.0710","4.0585","4.0687","4.0585","0.00%"
"12/22/2023","4.0710","4.0890","4.1240","4.0430","0.00%"
"12/21/2023","4.0710","4.0930","4.1276","4.0210","-0.85%"
"12/20/2023","4.1060","4.2030","4.2060","4.0950","-1.72%"
"12/19/2023","4.1780","4.1971","4.2210","4.1590","-0.55%"
"12/18/2023","4.2010","4.1438","4.2150","4.1152","1.11%"
"12/15/2023","4.1550","4.1590","4.2490","4.1060","0.00%"
"12/14/2023","4.1550","4.2181","4.2222","4.0350","-2.24%"
"12/13/2023","4.2500","4.4630","4.4838","4.1810","-5.35%"
"12/12/2023","4.4900","4.4775","4.5027","4.3800","0.08%"
"12/11/2023","4.4864","4.4660","4.5318","4.4590","3.61%"
"12/08/2023","4.3301","4.3502","4.5150","4.3370","0.00%"
"12/07/2023","4.3301","4.3439","4.3910","4.3100","-0.84%"
"12/06/2023","4.3670","4.3507","4.3900","4.3260","0.62%"
"12/05/2023","4.3400","4.4040","4.4150","4.3150","-1.81%"
"12/04/2023","4.4200","4.3771","4.4410","4.3470","-1.54%"
"12/01/2023","4.4890","4.4900","4.5090","4.3237","0.00%"
"11/30/2023","4.4890","4.4432","4.5270","4.4100","0.81%"
"11/29/2023","4.4530","4.5270","4.5290","4.3988","-1.48%"
"11/28/2023","4.5200","4.6300","4.6799","4.5080","-2.33%"
"11/27/2023","4.6280","4.7370","4.7520","4.6180","-1.82%"
"11/24/2023","4.7140","4.6717","4.7524","4.6590","0.91%"
"11/23/2023","4.6717","4.6653","4.6724","4.6560","0.06%"
"11/22/2023","4.6690","4.6431","4.7029","4.6052","0.63%"
"11/21/2023","4.6400","4.6910","4.6940","4.6110","-0.64%"
"11/20/2023","4.6697","4.6670","4.7060","4.6550","0.58%"
"11/17/2023","4.6430","4.6340","4.7110","4.5720","0.00%"
"11/16/2023","4.6430","4.7410","4.7450","4.6042","-1.78%"
"11/15/2023","4.7270","4.6530","4.7590","4.6150","1.83%"
"11/14/2023","4.6420","4.8710","4.8850","4.6172","-4.56%"
"11/13/2023","4.8639","4.8897","4.9090","4.8426","1.12%"
"11/10/2023","4.8100","4.8560","4.8870","4.7839","0.00%"
"11/09/2023","4.8100","4.7550","4.8140","4.7060","1.14%"
"11/08/2023","4.7560","4.7430","4.7770","4.7115","0.04%"
"11/07/2023","4.7540","4.7860","4.7910","4.7071","-1.10%"
"11/06/2023","4.8070","4.7200","4.8120","4.6990","-0.68%"
"11/03/2023","4.8400","4.8420","4.8622","4.6458","0.00%"
"11/02/2023","4.8400","4.8480","4.8580","4.7617","-0.43%"
"11/01/2023","4.8610","4.9850","5.0000","4.8400","-2.11%"
"10/31/2023","4.9657","4.9460","4.9904","4.8930","0.78%"
"10/30/2023","4.9273","4.9687","4.9800","4.9070","-0.83%"
"10/29/2023","4.9687","4.9687","4.9687","4.9687","0.21%"
